Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Karma Tashi Bhutia,48,INC,No,Post Graduate,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=105,18,SHYARI (BL)
Kunga Nima Lepcha,77,Sikkim Krantikari Morcha,No,Graduate,,"19,00,99,443~ 19 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=108,18,SHYARI (BL)
Pempo Dorjee Lepcha,40,BJP,No,Graduate,,"4,00,00,000~ 4 Crore+",,"9,63,237~ 9 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=106,18,SHYARI (BL)
Sonam Tshering Lepcha,51,Citizen Action Party-Sikkim,No,Graduate,,"95,00,000~ 95 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=107,18,SHYARI (BL)
Tenzing Norbu Lamtha,49,Sikkim Democratic Front,No,Others,,"57,08,83,066~ 57 Crore+",,"23,21,87,700~ 23 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=109,18,SHYARI (BL)
Chewang Dadul Bhutia,56,BJP,No,12th Pass,,"24,38,16,012~ 24 Crore+",,"1,01,12,269~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=59,19,MARTAM-RUMTEK (BL)
Ganga Lepcha,40,INC,No,10th Pass,,0~,,"90,000~ 90 Thou+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=58,19,MARTAM-RUMTEK (BL)
Karma Tshering Bhutia,54,Citizen Action Party-Sikkim,No,Not Given,,"25,08,10,795~ 25 Crore+",,"3,15,81,052~ 3 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=60,19,MARTAM-RUMTEK (BL)
Mechung Bhutia,46,Sikkim Democratic Front,No,Graduate Professional,,"50,00,000~ 50 Lacs+",,"6,55,440~ 6 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=62,19,MARTAM-RUMTEK (BL)
Sonam Tsh. Venchungpa,52,Sikkim Krantikari Morcha,No,Post Graduate,,"18,21,58,574~ 18 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=61,19,MARTAM-RUMTEK (BL)
Bhim Hang Limboo,35,Sikkim Krantikari Morcha,No,Graduate,,"89,62,031~ 89 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=142,2,YANGTHANG
Kesham Limboo,41,Sikkim Democratic Front,No,Graduate,,"1,50,00,000~ 1 Crore+",,"61,13,194~ 61 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=140,2,YANGTHANG
Mangal Subba (Limboo),41,INC,No,5th Pass,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=141,2,YANGTHANG
Phip Dhoj Limboo,40,Citizen Action Party-Sikkim,No,Post Graduate,,0~,,"5,80,000~ 5 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=139,2,YANGTHANG
Pravin Sharma,26,IND,Yes   3,Graduate,,"2,00,000~ 2 Lacs+",,"3,22,743~ 3 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=143,2,YANGTHANG
Sancha Man Limboo,42,BJP,No,10th Pass,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=138,2,YANGTHANG
Dr. Chandra Bahadur Chettri,42,Sikkim Democratic Front,No,Doctorate,,"11,00,68,157~ 11 Crore+",,"27,32,651~ 27 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=131,20,UPPER TADONG
G.T. Dhungel,64,Sikkim Krantikari Morcha,No,Graduate Professional,,"7,57,63,198~ 7 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=132,20,UPPER TADONG
Kailash Chandra Pradhan,60,IND,No,Others,,"6,57,28,476~ 6 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=130,20,UPPER TADONG
Niren Bhandari,49,BJP,No,Graduate,,"4,38,53,031~ 4 Crore+",,"2,75,000~ 2 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=128,20,UPPER TADONG
Ravi Gurung,48,Citizen Action Party-Sikkim,No,12th Pass,,"1,53,79,656~ 1 Crore+",,"30,97,298~ 30 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=129,20,UPPER TADONG
Arun Kumar Upreti,56,Sikkim Krantikari Morcha,No,12th Pass,,"22,58,37,751~ 22 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=17,21,ARITHANG
Ashis Rai,49,Sikkim Democratic Front,No,Graduate,,"14,07,13,518~ 14 Crore+",,"1,06,71,957~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=18,21,ARITHANG
Rikesh Pradhan,46,Citizen Action Party-Sikkim,No,5th Pass,,"3,21,51,800~ 3 Crore+",,"47,03,315~ 47 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=16,21,ARITHANG
Sumitra Rai,53,INC,No,8th Pass,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=14,21,ARITHANG
Udai Gurung,56,BJP,No,10th Pass,,"49,00,00,000~ 49 Crore+",,"45,42,232~ 45 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=15,21,ARITHANG
Dawcho Lepcha,54,Citizen Action Party-Sikkim,No,10th Pass,,"3,11,60,000~ 3 Crore+",,"2,25,39,572~ 2 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=37,22,GANGTOK (BL)
Delay Namgyal Barfungpa,58,Sikkim Krantikari Morcha,No,8th Pass,,"1,36,51,64,568~ 136 Crore+",,"7,05,04,729~ 7 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=36,22,GANGTOK (BL)
Pema Wangyal Rinzing,66,BJP,No,Graduate,,"2,53,92,531~ 2 Crore+",,"25,46,187~ 25 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=35,22,GANGTOK (BL)
Pintso Chopel Lepcha,55,Sikkim Democratic Front,No,Graduate,,"12,25,71,503~ 12 Crore+",,"6,04,892~ 6 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=34,22,GANGTOK (BL)
Snumit Targain,62,INC,No,Post Graduate,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=33,22,GANGTOK (BL)
Aita Tamang,56,INC,No,8th Pass,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=124,23,UPPER BURTUK
Bhim Kumar Tamang,61,Citizen Action Party-Sikkim,No,Post Graduate,,"3,34,00,000~ 3 Crore+",,"37,92,238~ 37 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=125,23,UPPER BURTUK
Dil Bahadur Thapa,58,Sikkim Democratic Front,No,12th Pass,,"8,85,00,000~ 8 Crore+",,"3,73,967~ 3 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=127,23,UPPER BURTUK
Dilli Ram Thapa,55,BJP,No,Graduate Professional,,"70,73,85,832~ 70 Crore+",,"78,71,345~ 78 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=126,23,UPPER BURTUK
Kala Rai,49,Sikkim Krantikari Morcha,No,Others,,"9,03,80,762~ 9 Crore+",,"6,96,53,610~ 6 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=123,23,UPPER BURTUK
Gnawo Chopel Lepcha,61,Sikkim Democratic Front,No,Others,,"4,20,93,724~ 4 Crore+",,"16,19,766~ 16 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=6,24,KABI LUNGCHUK (BL)
Thenlay Tshering Bhutia,71,Sikkim Krantikari Morcha,No,10th Pass,,"27,47,15,935~ 27 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=47,24,KABI LUNGCHUK (BL)
Ugen Nedup Bhutia,55,BJP,No,12th Pass,,"2,74,17,825~ 2 Crore+",,"20,00,000~ 20 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=46,24,KABI LUNGCHUK (BL)
Jorbu Tshering Lepcha,55,Citizen Action Party-Sikkim,No,Post Graduate,,"2,44,00,000~ 2 Crore+",,"30,00,000~ 30 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=2,25,DJONGU (BL)
Penzong Lepcha,40,BJP,No,Post Graduate,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=31,25,DJONGU (BL)
Pintso Namgyal Lepcha,49,Sikkim Krantikari Morcha,No,Graduate,,"6,93,52,353~ 6 Crore+",,"50,81,382~ 50 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=32,25,DJONGU (BL)
Sonam Gyatso Lepcha,62,Sikkim Democratic Front,No,10th Pass,,"6,50,00,000~ 6 Crore+",,"3,31,06,678~ 3 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=3,25,DJONGU (BL)
Hishey Lachungpa,56,Sikkim Democratic Front,No,Graduate,,"5,19,31,628~ 5 Crore+",,"3,05,63,017~ 3 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=7,26,LACHEN MANGAN (BL)
