Name (Party),Total Assets in AndhraPradesh 2024,Total Assets in AndhraPradesh 2019,Asset Increase,% Increase in Asset,Date
Velampalli Srinivasa Rao (YSRCP),"22,71,13,43022 Crore+","10,65,31,41910 Crore+","12,05,82,01112 Crore+",113%,30/05/2024 12:55:11
Anagani Satya Prasad (TDP),"20,50,94,60920 Crore+","8,84,03,5238 Crore+","11,66,91,08611 Crore+",132%,30/05/2024 12:55:11
Kolusu Partha Sarathy (TDP),"20,02,47,78220 Crore+","8,43,56,0508 Crore+","11,58,91,73211 Crore+",137%,30/05/2024 12:55:11
Kethireddy Peddareddy (YSRCP),"16,41,88,90716 Crore+","5,54,95,2515 Crore+","10,86,93,65610 Crore+",196%,30/05/2024 12:55:11
Atchannaidu Kinjarapu (TDP),"17,11,90,75817 Crore+","7,13,15,9037 Crore+","9,98,74,8559 Crore+",140%,30/05/2024 12:55:11
Anantha Venkatarami Reddy (YSRCP),"18,46,45,00018 Crore+","8,61,66,0008 Crore+","9,84,79,0009 Crore+",114%,30/05/2024 12:55:11
Meka Venkata Pratap Apparao (YSRCP),"28,12,73,94528 Crore+","18,28,75,26318 Crore+","9,83,98,6829 Crore+",54%,30/05/2024 12:55:11
Taneti Vanita (YSRCP),"20,08,77,95920 Crore+","10,31,71,11210 Crore+","9,77,06,8479 Crore+",95%,30/05/2024 12:55:11
Thopudurthi Prakash Reddy (YSRCP),"12,42,33,01012 Crore+","2,71,90,3622 Crore+","9,70,42,6489 Crore+",357%,30/05/2024 12:55:11
Chirla Jaggireddy (YSRCP),"13,20,86,02013 Crore+","3,70,45,3773 Crore+","9,50,40,6439 Crore+",257%,30/05/2024 12:55:11
Nagarjuna Merugu (YSRCP),"14,06,22,22514 Crore+","5,31,40,1175 Crore+","8,74,82,1088 Crore+",165%,30/05/2024 12:55:11
Nagaraja Vara Prasada Raju Mudunuri (YSRCP),"10,57,86,12610 Crore+","2,23,34,2542 Crore+","8,34,51,8728 Crore+",374%,30/05/2024 12:55:11
Rachamallu Siva Prasad Reddy (YSRCP),"11,46,35,21011 Crore+","3,60,75,5203 Crore+","7,85,59,6907 Crore+",218%,30/05/2024 12:55:11
Anam Ramanarayana Reddy (TDP),"26,27,39,40526 Crore+","18,69,25,78118 Crore+","7,58,13,6247 Crore+",41%,30/05/2024 12:55:11
Gadikota Srikanth Reddy (YSRCP),"14,05,42,71114 Crore+","6,49,43,1646 Crore+","7,55,99,5477 Crore+",116%,30/05/2024 12:55:11
Krishnadas Dharmana (YSRCP),"10,02,17,43510 Crore+","2,92,97,3862 Crore+","7,09,20,0497 Crore+",242%,30/05/2024 12:55:11
Anna Rambabu (YSRCP),"49,91,36,31649 Crore+","42,84,65,35442 Crore+","7,06,70,9627 Crore+",16%,30/05/2024 12:55:11
Kottu Satyanarayana (YSRCP),"15,15,52,25415 Crore+","8,31,59,9358 Crore+","6,83,92,3196 Crore+",82%,30/05/2024 12:55:11
Peddireddy Dwarakanatha Reddy (YSRCP),"29,45,60,31329 Crore+","22,83,13,27122 Crore+","6,62,47,0426 Crore+",29%,30/05/2024 12:55:11
Kakani Govardhan Reddy (YSRCP),"28,67,11,73328 Crore+","22,18,77,47122 Crore+","6,48,34,2626 Crore+",29%,30/05/2024 12:55:11
Annamreddy Adeep Raj (YSRCP),"12,54,38,99712 Crore+","6,16,48,7376 Crore+","6,37,90,2606 Crore+",103%,30/05/2024 12:55:11
Koramutla Sreenivasulu (YSRCP),"8,15,23,6798 Crore+","1,80,73,5001 Crore+","6,34,50,1796 Crore+",351%,30/05/2024 12:55:11
Velagapudi Ramakrishna Babu (TDP),"24,06,97,95224 Crore+","17,84,50,78017 Crore+","6,22,47,1726 Crore+",35%,30/05/2024 12:55:11
Audimulapu Suresh (YSRCP),"22,37,85,57122 Crore+","16,22,92,75316 Crore+","6,14,92,8186 Crore+",38%,30/05/2024 12:55:11
Doctor.Sathi Suryanarayana Reddy (YSRCP),"23,25,57,20123 Crore+","17,33,01,89217 Crore+","5,92,55,3095 Crore+",34%,30/05/2024 12:55:11
Alla Kali Krishna Srinivas (YSRCP),"10,48,54,60310 Crore+","4,82,94,5824 Crore+","5,65,60,0215 Crore+",117%,30/05/2024 12:55:11
Amzath Basha Shaik Bepari (YSRCP),"9,43,88,7869 Crore+","3,90,33,1653 Crore+","5,53,55,6215 Crore+",142%,30/05/2024 12:55:11
Appalanarasayya Botcha (YSRCP),"14,80,93,15514 Crore+","9,30,09,5219 Crore+","5,50,83,6345 Crore+",59%,30/05/2024 12:55:11
Muttamsetti Srinivasa Rao (Avanthi Srinivas) (YSRCP),"40,93,44,68040 Crore+","35,57,13,87735 Crore+","5,36,30,8035 Crore+",15%,30/05/2024 12:55:11
Madhusudhan Reddy Biyyapu (YSRCP),"7,02,24,0947 Crore+","1,72,66,2881 Crore+","5,29,57,8065 Crore+",307%,30/05/2024 12:55:11
Avss Amarnath Gudivada (YSRCP),"10,55,93,57210 Crore+","5,32,58,1375 Crore+","5,23,35,4355 Crore+",98%,30/05/2024 12:55:11
Alajangi Jogarao (YSRCP),"7,96,99,4987 Crore+","2,90,46,4102 Crore+","5,06,53,0885 Crore+",174%,30/05/2024 12:55:11
Raghurami Reddy Settipally (YSRCP),"10,43,64,61310 Crore+","5,40,93,7125 Crore+","5,02,70,9015 Crore+",93%,30/05/2024 12:55:11
R.K. Roja (YSRCP),"13,79,05,70513 Crore+","9,33,49,8629 Crore+","4,45,55,8434 Crore+",48%,30/05/2024 12:55:11
Anil Kumar Kaile (YSRCP),"6,85,82,4826 Crore+","2,51,55,0002 Crore+","4,34,27,4824 Crore+",173%,30/05/2024 12:55:11
Y. Sai Prasad Reddy (YSRCP),"13,64,82,68513 Crore+","9,32,23,5879 Crore+","4,32,59,0984 Crore+",46%,30/05/2024 12:55:11
Balineni Srinivasa Reddy (YSRCP),"10,03,30,49710 Crore+","5,75,72,6585 Crore+","4,27,57,8394 Crore+",74%,30/05/2024 12:55:11
Ponnada Venkata Satish Kumar (YSRCP),"10,89,33,78610 Crore+","6,69,61,9826 Crore+","4,19,71,8044 Crore+",63%,30/05/2024 12:55:11
Sreedhar Reddy Duddukunta (YSRCP),"72,83,22,64672 Crore+","68,69,19,56368 Crore+","4,14,03,0834 Crore+",6%,30/05/2024 12:55:11
Y. Venkata Rama Reddy (YSRCP),"7,53,22,6447 Crore+","3,40,54,1503 Crore+","4,12,68,4944 Crore+",121%,30/05/2024 12:55:11
Sucharitha Mekathoti (YSRCP),"12,68,85,02312 Crore+","8,69,44,9378 Crore+","3,99,40,0863 Crore+",46%,30/05/2024 12:55:11
Pamula Pushpa Sreevani (YSRCP),"5,20,64,2585 Crore+","1,24,29,4381 Crore+","3,96,34,8203 Crore+",319%,30/05/2024 12:55:11
Aranii Srenevasulu (Janasena Party),"82,94,53,10182 Crore+","79,16,11,96479 Crore+","3,78,41,1373 Crore+",5%,30/05/2024 12:55:11
Chittibabu Kondeti (INC),"6,75,38,3646 Crore+","3,09,11,0353 Crore+","3,66,27,3293 Crore+",118%,30/05/2024 12:55:11
Gopala Krishna Chelluboyina(Venu) (YSRCP),"7,28,48,0007 Crore+","3,63,30,0003 Crore+","3,65,18,0003 Crore+",101%,30/05/2024 12:55:11
Mule Sudheer Reddy (YSRCP),"14,74,52,30914 Crore+","11,24,00,85611 Crore+","3,50,51,4533 Crore+",31%,30/05/2024 12:55:11
Jogi Ramesh (YSRCP),"4,24,80,5984 Crore+","90,93,00090 Lacs+","3,33,87,5983 Crore+",367%,30/05/2024 12:55:11
Ramesh Babu Simhadri (YSRCP),"19,52,65,72919 Crore+","16,29,92,45816 Crore+","3,22,73,2713 Crore+",20%,30/05/2024 12:55:11
Monditoka Jagan Mohan Rao (YSRCP),"5,43,29,6135 Crore+","2,26,26,5372 Crore+","3,17,03,0763 Crore+",140%,30/05/2024 12:55:11
Kiran Kumar Gorle (YSRCP),"6,41,07,9686 Crore+","3,40,38,4033 Crore+","3,00,69,5653 Crore+",88%,30/05/2024 12:55:11
Appalanaidu Baddukonda (YSRCP),"11,25,32,03611 Crore+","8,28,32,1368 Crore+","2,96,99,9002 Crore+",36%,30/05/2024 12:55:11
Jakkampudi Raja (YSRCP),"5,60,62,0675 Crore+","2,84,05,8602 Crore+","2,76,56,2072 Crore+",97%,30/05/2024 12:55:11
Nallapareddy Prasanna Kumar Reddy (YSRCP),"20,57,03,59520 Crore+","17,91,83,72817 Crore+","2,65,19,8672 Crore+",15%,30/05/2024 12:55:11
Brijendra Reddy Gangula (Nani) (YSRCP),"4,33,37,2404 Crore+","1,71,32,5781 Crore+","2,62,04,6622 Crore+",153%,30/05/2024 12:55:11
Gadde Rama Mohan (TDP),"16,72,80,05216 Crore+","14,17,51,00014 Crore+","2,55,29,0522 Crore+",18%,30/05/2024 12:55:11
Rajanna Dora Peedika (YSRCP),"4,41,64,9874 Crore+","2,00,44,5122 Crore+","2,41,20,4752 Crore+",120%,30/05/2024 12:55:11
Venkata China Appala Naidu Sambangi (YSRCP),"7,56,84,4167 Crore+","5,19,22,5435 Crore+","2,37,61,8732 Crore+",46%,30/05/2024 12:55:11
